city,municipality,lat,lng
Björkvik,Katrineholms kommun,58.83246219999999,16.516314
Björköby,Vetlanda kommun,57.5188928,14.9045962
Björlanda,Göteborgs kommun,57.766667,11.833333
Björna,Örnsköldsviks kommun,63.56666699999999,18.55
Björnarås,Mölndals kommun,57.5855293,12.1132821
Björneborg,Kristinehamns kommun,59.2408793,14.2511578
Björnlunda,Gnesta kommun,59.06608800000001,17.1616906
Björnänge,Åre kommun,63.3780133,13.1471097
Björnö,Växjö kommun,57.175724,14.607583
Björsäter,Åtvidabergs kommun,58.33632,16.0249625
Blackstalund,Uppsala kommun,59.96437229999999,17.3785309
Bleket,Tjörns kommun,57.9496753,11.5687336
Blentarp,Sjöbo kommun,55.5839562,13.6027103
Blidsberg,Ulricehamns kommun,57.9310626,13.4945915
Blidö,Norrtälje kommun,59.61825129999999,18.9095764
Blixbo,Falu kommun,60.629223671335836,15.82392502069488
Blombacka,Karlstads kommun,59.60439,13.82128
Blomstermåla,Mönsterås kommun,56.9814885,16.3327375
Blåsmark,Piteå kommun,65.2652966,21.2928379
Bläshammar och Trönningenäs,Varbergs kommun,57.1395728,12.2216255
Blötberget,Ludvika kommun,60.12464079999999,15.061261
Bockara,Oskarshamns kommun,57.2615025,16.0663285
Boda,Rättviks kommun,61.00663999999999,15.21584
Bodafors,Nässjö kommun,57.50394780000001,14.7079586
Boden,Bodens kommun,65.8251188,21.6887028
Bohus-Björkö,Öckerö kommun,57.7302907,11.6822258
Boliden,Skellefteå kommun,64.8672035,20.3833529
Bollebygd,Bollebygds kommun,57.66896910000001,12.5701434
Bollnäs,Bollnäs kommun,61.34837950000001,16.3942685
Bollstabruk,Kramfors kommun,62.9976826,17.6733404
Bondstorp,Vaggeryds kommun,57.5897048,13.9252147
Bonäs,Mora kommun,61.0849499,14.4878472
Bor,Värnamo kommun,57.1090239,14.1693695
Borensberg,Motala kommun,58.56234449999999,15.281769
Borggård,Finspångs kommun,58.7296585,15.5513094
Borgholm,Borgholms kommun,56.88022969999999,16.6562355
Borgstena,Borås kommun,57.8843832,13.0165311
Borlänge,Borlänge kommun,60.484304,15.433969
Borrby,Simrishamns kommun,55.4578377,14.1788258
Borås,Borås kommun,57.72103500000001,12.939819
Bosnäs,Borås kommun,57.6701703,12.8478831
Botsmark,Umeå kommun,64.25899,20.25019
Bottnaryd,Jönköpings kommun,57.77082109999999,13.8333062
Bovallstrand,Sotenäs kommun,58.4753689,11.3224804
Boxholm,Boxholms kommun,58.19709870000001,15.0537794
Brantevik,Simrishamns kommun,55.51494049999999,14.3464149
Brastad,Lysekils kommun,58.3814058,11.4843472
Braås,Växjö kommun,57.0599208,15.0537039
Bredared,Borås kommun,57.80593839999999,12.9026523
Bredaryd,Värnamo kommun,57.1790865,13.7456359
Bredbyn,Örnsköldsviks kommun,63.45048019999999,18.1031299
Bredsand,Enköpings kommun,59.5965609,17.0698086
Bredviken,Kalix kommun,65.8253703,23.2155801
Bro,Upplands-Bro kommun,59.5148287,17.6402895
Broaryd,Gislaveds kommun,57.1199526,13.2569015
Broby,Östra Göinge kommun,56.2543556,14.0718204
Brokind,Linköpings kommun,58.21615089999999,15.6780083
Bromölla,Bromölla kommun,56.0743618,14.477659
Brotorp,Säffle kommun,59.15847410000001,12.8564891
Brottby,Vallentuna kommun,59.560466,18.2355181
Bruksvallarna,Härjedalens kommun,62.6435039,12.4281904
Brunn,Värmdö kommun,59.27763599999999,18.430958
Brunna,Upplands-Bro kommun,59.504909,17.752338
Brunnsberg,Älvdalens kommun,61.28371300000001,13.9277488
Bruzaholm,Eksjö kommun,57.6411056,15.2684486
Brålanda,Vänersborgs kommun,58.5622759,12.3519969
Bräcke,Bräcke kommun,62.7507414,15.4225748
Bräkne-Hoby,Ronneby kommun,56.2295999,15.1150425
Brändön,Luleå kommun,65.6979092,22.3325178
Brännland,Umeå kommun,63.8796695,20.0554472
Brännäset och Boviken,Umeå kommun,63.6333346,19.9916952
Brännö,Göteborgs kommun,57.64250999999999,11.77606
Brösarp,Tomelilla kommun,55.72526999999999,14.10094
Bua,Varbergs kommun,57.2368326,12.1221463
Buerås,Kungsbacka kommun,57.3458907,12.1832758
Bullmark,Umeå kommun,64.0331996,20.4826452
Bunkeflostrand,Malmö kommun,55.5553336,12.9192865
Bureå,Skellefteå kommun,64.61997029999999,21.2009054
Burgsvik,Region Gotland,57.03181,18.28152
Burlövs egnahem,Burlövs kommun,55.63588,13.100173
Burseryd,Gislaveds kommun,57.1999942,13.2835439
Burträsk,Skellefteå kommun,64.5197907,20.6566774
Buskhyttan,Nyköpings kommun,58.65629,16.9502099
Butbro,Finspångs kommun,58.7139038,15.8432891
Bygdeå,Robertsfors kommun,64.0590498,20.8544517
Bygdsiljum,Skellefteå kommun,64.3511259,20.503766
Byske,Skellefteå kommun,64.9534634,21.2041599
Bålsta,Håbo kommun,59.5669027,17.5300882
Båstad,Båstads kommun,56.40114,12.79954
Båtbyggartorp,Upplands Väsby kommun,59.5144979,17.8497694
Båtskärsnäs,Kalix kommun,65.781558,23.4209132
Bäckaskog,Kristianstads kommun,56.0447167,14.3356415
Bäckebo,Nybro kommun,56.8892683,16.0667978
Bäckefors,Bengtsfors kommun,58.8058606,12.1563562
Bäckhammar,Kristinehamns kommun,59.1602952,14.1858367
Bälgviken,Eskilstuna kommun,59.25034849999999,16.4613517
Bälinge,Uppsala kommun,59.94881869999999,17.533221
Bälinge,Luleå kommun,65.6306268,21.9286203
Bärby,Uppsala kommun,59.8576667,17.8147519
Bäsna,Gagnefs kommun,60.5372084,15.2037856
Bökenäs Korsanäs och Kuggeboda,Ronneby kommun,56.1396804,15.3658559
Böle,Piteå kommun,65.3846002,21.3203629
Bönan,Gävle kommun,60.73901410000001,17.308295
Charlottenberg,Eda kommun,59.884842,12.2993128
Dala-Floda,Gagnefs kommun,60.5079552,14.7926914
Dalarö,Haninge kommun,59.1353294,18.4106143
Dalby,Lunds kommun,55.6648168,13.3475569
Dals Långed,Bengtsfors kommun,58.9235406,12.3070495
Dals Rostock,Melleruds kommun,58.71405619999999,12.3567531
Dalsjöfors,Borås kommun,57.7177221,13.1027254
Dalstorp,Tranemo kommun,57.6056953,13.5119215
Dalum,Ulricehamns kommun,57.8988627,13.4664321
Danholn,Falu kommun,60.619432,15.7898343
Danmark,Uppsala kommun,59.8323906,17.7448485
Dannemora,Östhammars kommun,60.1975419,17.8469454
Dannike,Borås kommun,57.68772149999999,13.2290635
Degeberga,Kristianstads kommun,55.8379761,14.0901385
Degerfors,Degerfors kommun,59.2291447,14.4406524
Degerhamn,Mörbylånga kommun,56.3596399,16.4075762
Deje,Forshaga kommun,59.6039634,13.4683165
Delary,Älmhults kommun,56.5490629,13.9533081
Delsbo,Hudiksvalls kommun,61.7991324,16.5533824
Dingle,Munkedals kommun,58.52742110000001,11.5755959
Dingtuna,Västerås kommun,59.57063169999999,16.3821914
Diseröd,Kungälvs kommun,57.9237006,12.0318199
Diö,Älmhults kommun,56.641232,14.222439
Djupekås,Sölvesborgs kommun,56.07069689999999,14.7185403
Djura,Leksands kommun,60.60956,14.98855
Djurås,Gagnefs kommun,60.56075389999999,15.1318034
Djurö,Värmdö kommun,59.3118861,18.7042875
Djurön,Norrköpings kommun,58.6333333,16.35
Docksta,Kramfors kommun,63.0562063,18.328886
Domsten,Helsingborgs kommun,56.1190799,12.6062922
Donsö,Göteborgs kommun,57.6016667,11.8069444
Dorotea,Dorotea kommun,64.2617939,16.4152338
Drag,Kalmar kommun,56.7794959,16.414551
Drottningholm,Ekerö kommun,59.3254794,17.8886967
Drottningskär,Karlskrona kommun,56.1126344,15.5586583
Drängsmark,Skellefteå kommun,64.9167509,20.9573529
Dunö,Kalmar kommun,56.633333,16.266667
Duvesjön,Kungälvs kommun,57.9222396,11.9787946
Dvärsätt,Krokoms kommun,63.3026394,14.4720789
Dyvelsten,Forshaga kommun,59.5,13.433056
Dösjebro,Kävlinge kommun,55.8194214,13.0221182
Ed,Dals-Eds kommun,58.9743879,11.8651749
Eda glasbruk,Eda kommun,59.92344,12.26416
Edane,Arvika kommun,59.63034930000001,12.8183602
Edeby,Knivsta kommun,59.7114533,17.7316119
Edsbro,Norrtälje kommun,59.8952111,18.4932945
Edsbruk,Västerviks kommun,58.0200522,16.4650392
Edsbyn,Ovanåkers kommun,61.37502739999999,15.8182726
Edsgatan och Långenäs,Karlstads kommun,59.44472649999999,13.5571932
Edsvalla,Karlstads kommun,59.43637409999999,13.2111633
Edsvalla Övre bruket,Karlstads kommun,59.446552,13.218073
Eggby,Skara kommun,58.43202520000001,13.6439215
Ekeby,Ekerö kommun,59.36300139999999,17.595051
Ekeby,Södertälje kommun,59.2522683,17.5188926
Ekeby,Bjuvs kommun,55.9996194,12.967407
Ekeby,Kumla kommun,59.166259,15.2712499
Ekeby-Almby,Örebro kommun,59.2598836,15.3367095
Ekedalen,Tidaholms kommun,58.1982758,13.8418004
Ekenhaga,Värnamo kommun,57.1954594,14.0101948
Ekenässjön,Vetlanda kommun,57.4902818,15.0226247
Ekerö,Ekerö kommun,59.2798338,17.7902246
Ekerö sommarstad,Ekerö kommun,59.27837609999999,17.7339528
Eket,Örkelljunga kommun,56.2485995,13.1942245
Ekshärad,Hagfors kommun,60.172769,13.4964549
Eksjö,Eksjö kommun,57.6651652,14.9732214
Ekskogen,Vallentuna kommun,59.64100000000001,18.2264415
Ekskogen Älgeby och Långsjötorp,Vallentuna kommun,59.6093533,18.3721818
Eksund,Norrköpings kommun,58.5883385,16.0899329
Ekängen,Linköpings kommun,58.468674,15.6352232
Eldsberga,Halmstads kommun,56.5989635,12.9884573
Ellös,Orusts kommun,58.17772040000001,11.4752297
Emmaboda,Emmaboda kommun,56.63068550000001,15.540006
Emmaljunga,Hässleholms kommun,56.3972437,13.6505764
Emsfors,Oskarshamns kommun,57.1450444,16.4535047
Emtunga,Vara kommun,58.2557936,12.9983497
Enbacka,Säters kommun,60.40996990000001,15.6037986
Eneryda,Älmhults kommun,56.7025841,14.3386279
Enhagen-Ekbacken,Västerås kommun,59.5668724,16.5274611
Enköping,Enköpings kommun,59.63569090000001,17.0778228
Enstaberga,Nyköpings kommun,58.7498485,16.8492203
Enviken,Falu kommun,60.8080652,15.7576919
Enånger,Hudiksvalls kommun,61.5475511,17.00571
Eriksmåla,Emmaboda kommun,56.7348887,15.4873549
Eringsboda,Ronneby kommun,56.4385074,15.3662103
Ersmark,Umeå kommun,63.88319079999999,20.3131035
Ersmark,Skellefteå kommun,64.8487475,20.8897582
Ersnäs,Luleå kommun,65.52817089999999,21.7967337
Eskilsby och Snugga,Härryda kommun,57.6154536,12.2914064
Eskilstuna,Eskilstuna kommun,59.37124859999999,16.5098045
Eslöv,Eslövs kommun,55.8391198,13.3033914
Evertsberg,Älvdalens kommun,61.1345709,13.956154
Everöd,Kristianstads kommun,55.8986119,14.0962556
Fagerfjäll,Tjörns kommun,57.9845866,11.6542383
Fagerhult,Habo kommun,57.99861649999999,14.1191898
Fagerhult,Högsby kommun,57.1476793,15.6626605
Fagerhult,Uddevalla kommun,58.42598,12.02515
Fagersanna,Tibro kommun,58.46794569999999,14.2958394
Fagersta,Fagersta kommun,59.989144,15.8166418
Fagerås,Kils kommun,59.52213,13.22747
Falerum,Åtvidabergs kommun,58.14236329999999,16.2092808
Falkenberg,Falkenbergs kommun,56.90273329999999,12.4888013
Falköping,Falköpings kommun,58.17502899999999,13.553217
Falla,Finspångs kommun,58.6821053,15.7502833
Falun,Falu kommun,60.60646000000001,15.6355
Farhult,Höganäs kommun,56.2222674,12.7236568
Fegen,Falkenbergs kommun,57.1055553,13.0367485
Fellingsbro,Lindesbergs kommun,59.4336976,15.5915016
Fengersfors,Åmåls kommun,58.99396830000001,12.4655218
Figeholm,Oskarshamns kommun,57.3763329,16.5550694
Filipstad,Filipstads kommun,59.7139973,14.1698445
Filsbäck,Lidköpings kommun,58.4921077,13.2465328
Finja,Hässleholms kommun,56.1681562,13.694527
Finkarby,Nykvarns kommun,59.22485949999999,17.3109576
Finnerödja,Laxå kommun,58.92454369999999,14.4401987
Finspång,Finspångs kommun,58.7074884,15.773595
Finsta,Norrtälje kommun,59.73690019999999,18.4940035
Fiskebäckskil,Lysekils kommun,58.24742569999999,11.4590081
Fisksätra,Nacka kommun,59.29206409999999,18.2547015
